,0,1,i,j,dist
0,1.0,3.22379349881885e-08,19,0,-1210.9973494453602
1,1.0,5.620772944303632e-11,20,0,-1062.0061205096702
2,1.0,4.948070841948038e-10,21,0,-942.4653839796982
3,1.0,5.117869322779356e-11,22,0,-870.5832234556344
4,1.0,2.1166622621304756e-10,23,0,-803.9783959474613
5,1.0,6.138313815573504e-12,24,0,-737.3735684392881
6,1.0,1.6521628357947515e-14,25,0,-670.7687409311148
7,1.0,2.495738641791756e-12,26,0,-604.1639134229416
8,1.0,3.4124092440634968e-12,27,0,-537.5590859147685
9,1.0,6.429446818695396e-13,28,0,-470.9542584065953
10,1.0,1.2039382078082859e-12,29,0,-404.34943089842204
11,1.0,5.652817325341175e-09,30,0,-351.601332570463
12,1.0,9.869214778746029e-09,31,0,-307.59768934940735
13,0.9999971389770508,2.8557849418575643e-06,32,0,-263.59404612835164
14,1.0,4.0410057522422e-08,33,0,-219.59040290729595
15,0.9999998807907104,1.7714501154841858e-07,34,0,-175.58675968624027
16,1.0,1.5558633548184986e-10,35,0,-131.5831164651846
17,1.0,6.684516135058159e-11,36,0,-87.57947324412889
18,1.0,1.1882173023280982e-09,37,0,-43.5758300230732
19,1.0,5.305893502338677e-10,38,0,0.4278131979824859
20,0.3224075436592102,0.6775924563407898,39,0,44.43145641903818
21,0.9695945382118224,0.0304054990410804,40,0,71.61860915710305
22,0.999996304512024,3.708770236698911e-06,41,0,36.71817017699192
23,1.0,6.738167246389536e-10,42,0,1.817731196880788
24,0.9999971389770508,2.8154813662695237e-06,43,0,-33.08270778323035
25,1.0,5.303093519870572e-09,44,0,-67.98314676334148
26,1.0,2.0117871812885824e-09,45,0,-102.88358574345261
27,1.0,1.36105557380084e-10,46,0,-137.78402472356373
28,1.0,8.330167610391681e-13,47,0,-172.68446370367488
29,1.0,7.964355563938597e-11,48,0,-207.584902683786
30,1.0,2.0097984040901015e-11,49,0,-242.48534166389715
31,1.0,2.4177559954097205e-10,50,0,-319.2436998627712
32,1.0,4.5245721232156636e-12,52,0,-538.3540854719118
33,1.0,1.7702316001955154e-10,16,1,-1451.2585077713507
34,1.0,4.1047286458706373e-08,17,1,-1301.8733316101132
35,1.0,2.387702258133117e-10,18,1,-1152.4881554488757
36,1.0,3.321071750939097e-10,19,1,-1003.102979287638
37,1.0,1.5332106244325685e-12,20,1,-853.7178031264006
38,1.0,1.6461840029145802e-13,21,1,-709.7386843057099
39,1.0,2.228754073657635e-12,22,1,-623.3994922907245
40,1.0,1.385245473883856e-09,23,1,-556.7946647825513
41,1.0,1.0160820210387833e-13,24,1,-490.1898372743781
42,1.0,3.9864562117932634e-14,25,1,-423.58500976620485
43,1.0,5.608970926607171e-11,26,1,-356.9801822580317
44,0.9999991655349731,8.735673304727243e-07,27,1,-290.3753547498585
45,1.0,1.6526437107700076e-08,28,1,-223.77052724168527
46,1.0,2.21718221560252e-09,29,1,-157.16569973351207
47,1.0,1.0784676623964984e-10,30,1,-99.41156397690165
48,1.0,7.32778692325714e-13,31,1,-55.40792075584596
49,1.0,2.2871715372324575e-12,32,1,-11.404277534790266
50,1.0,9.894764174678271e-11,33,1,32.59936568626542
51,1.0,1.7402490559703662e-10,34,1,76.60300890732111
52,1.0,8.196298750817732e-09,35,1,120.60665212837681
53,1.0,1.851120323692612e-08,36,1,164.6102953494325
54,0.9999953508377076,4.65285120299086e-06,37,1,208.6139385704882
55,0.0015675843460485,0.998432457447052,38,1,252.61758179154387
56,0.9997506737709044,0.0002493166539352,39,1,296.62122501259955
57,0.9979009628295898,0.002099041827023,40,1,325.2284657459106
58,0.9273991584777832,0.0726008713245391,41,1,290.3280267657995
59,0.9984632730484008,0.001536781899631,42,1,255.42758778568836
60,0.9987779259681702,0.0012220471398904,43,1,220.5271488055772
61,0.9999998807907104,6.691770693123544e-08,44,1,185.6267098254661
62,0.9999998807907104,1.740264679028769e-07,45,1,150.72627084535495
63,0.999998927116394,1.014941744870157e-06,46,1,115.82583186524383
64,1.0,2.7641650746090818e-08,47,1,80.92539288513268
65,1.0,1.2182605618749063e-11,48,1,46.024953905021555
66,1.0,3.831732847681124e-11,49,1,11.124514924910423
67,1.0,5.000722926029599e-12,50,1,-87.87027932887881
68,1.0,7.572728555338415e-11,51,1,-197.42547213344912
69,0.9999998807907104,6.521563022943155e-08,11,2,-2110.263016782505
70,1.0,1.7135420193881146e-08,12,2,-1905.9050343603167
71,1.0,1.2560277262707584e-09,15,2,-1392.7493137748659
72,1.0,9.405091289105272e-11,16,2,-1243.3641376136284
73,1.0,1.782080261136798e-08,17,2,-1093.9789614523909
74,1.0,6.0506218091393996e-12,18,2,-944.5937852911534
75,1.0,1.5918134865788858e-12,19,2,-795.2086091299158
76,1.0,3.048817795447967e-11,20,2,-645.8234329686783
77,1.0,1.8109060258286733e-13,21,2,-496.4382568074407
78,0.9999998807907104,6.175786637641069e-08,22,2,-376.21576112581454
79,1.0,1.8626733933047035e-08,23,2,-309.6109336176413
80,1.0,2.5720436891418785e-10,24,2,-243.0061061094681
81,1.0,7.803844376264024e-12,25,2,-176.4012786012949
82,1.0,6.556329368301306e-10,26,2,-109.7964510931217
83,0.999943733215332,5.628208236885257e-05,27,2,-43.19162358494849
84,1.0,2.6854796598280158e-12,28,2,23.413203923224717
85,0.9999998807907104,1.2339994270860188e-07,29,2,90.01803143139793
86,1.0,3.1716101744905245e-08,30,2,152.77820461665974
87,0.9999929666519164,6.9855336732871365e-06,31,2,196.78184783771542
88,1.0,1.0335946321049503e-08,32,2,240.7854910587711
89,0.9999972581863404,2.708143711060984e-06,33,2,284.7891342798268
90,0.4432947337627411,0.5567052364349365,34,2,328.7927775008825
91,0.0483798086643219,0.9516201615333556,35,2,372.7964207219382
92,0.999992609024048,7.366266800090671e-06,36,2,416.80006394299386
93,0.8225458264350891,0.1774541288614273,37,2,460.80370716404957
94,0.0001302514720009,0.999869704246521,38,2,504.8073503851052
95,0.9995915293693542,0.0004085096006747,39,2,548.8109936061609
96,0.5217097997665405,0.4782902300357818,40,2,578.8383223347182
97,0.1545985490083694,0.8454015254974365,41,2,543.937883354607
98,0.9997716546058656,0.00022835508571,42,2,509.0374443744959
99,0.999945878982544,5.407509161159396e-05,43,2,474.1370053943848
100,0.6836612224578857,0.3163387477397918,44,2,439.2365664142737
101,0.995081663131714,0.0049183103255927,45,2,404.3361274341625
102,1.0,4.990459157028226e-09,46,2,369.4356884540514
103,1.0,1.249020054050476e-10,47,2,334.53524947394027
104,1.0,1.9476505741522487e-08,48,2,299.63481049382915
105,0.9999997615814208,2.1777529468636206e-07,49,2,253.05833400958392
106,0.9999995231628418,4.5121450398255547e-07,50,2,143.5031412050136
107,1.0,9.359626788885134e-13,51,2,33.947948400443266
108,1.0,2.28803006272274e-13,52,2,-75.60724440412706
